Username,Password,role
Maria00123,Pass1234,customer
Aqleema002,Pass1234,customer
Areesha003,Pass1234,customer
Muhamma004,Pass1234,customer
Zobiya0056,Pass1234,customer
Ezzah00678,Pass1234,customer
Sidra00789,Pass1234,customer
Ahoor00890,Pass1234,customer
Bakhtiar01,Pass1234,customer
Rahimeen02,Pass1234,customer
Mariam0034,Pass1234,customer
Wania00987,Pass1234,customer
Ahad001234,Pass1234,customer
Shahj00123,Pass1234,customer
Fatima0012,Pass1234,customer
Fatima0023,Pass1234,customer
Mahnoor012,Pass1234,customer
Noor009123,Pass1234,customer
Syeda00123,Pass1234,customer
Maziyah045,Pass1234,customer
Amna001234,Pass1234,customer
Alishba456,Pass1234,customer
Zainab0098,Pass1234,customer
Hareem0087,Pass1234,customer
Farwa00912,Pass1234,customer
Musfirah45,Pass1234,customer
Hamdan0098,Pass1234,customer
Fatima0091,Pass1234,customer
Shaaf01234,Pass1234,admin
Sajal01234,Pass1234,admin
Hania01234,Pass1234,admin
